n_hor,n_ver,n_tot,eta,S
343,1,344,0.671875,0.99418605
298,37,335,0.65429688,0.77910448
261,61,322,0.62890625,0.62111801
303,30,333,0.65039062,0.81981982
327,0,327,0.63867188,1
333,1,334,0.65234375,0.99401198
302,22,324,0.6328125,0.86419753
323,20,343,0.66992188,0.88338192
332,12,344,0.671875,0.93023256
335,9,344,0.671875,0.94767442
316,8,324,0.6328125,0.95061728
327,16,343,0.66992188,0.90670554
330,14,344,0.671875,0.91860465
351,0,351,0.68554688,1
322,10,332,0.6484375,0.93975904
302,44,346,0.67578125,0.74566474
303,33,336,0.65625,0.80357143
317,21,338,0.66015625,0.87573964
302,31,333,0.65039062,0.81381381
274,50,324,0.6328125,0.69135802
295,40,335,0.65429688,0.76119403
275,59,334,0.65234375,0.64670659
256,72,328,0.640625,0.56097561
272,63,335,0.65429688,0.6238806
275,51,326,0.63671875,0.68711656
236,85,321,0.62695312,0.47040498
293,48,341,0.66601562,0.71847507
282,47,329,0.64257812,0.71428571
323,14,337,0.65820312,0.91691395
319,23,342,0.66796875,0.86549708
308,24,332,0.6484375,0.85542169
291,35,326,0.63671875,0.78527607
281,34,315,0.61523438,0.78412698
317,25,342,0.66796875,0.85380117
337,5,342,0.66796875,0.97076023
330,11,341,0.66601562,0.93548387
301,35,336,0.65625,0.79166667
310,24,334,0.65234375,0.85628743
347,0,347,0.67773438,1
309,15,324,0.6328125,0.90740741
297,25,322,0.62890625,0.8447205
313,29,342,0.66796875,0.83040936
302,25,327,0.63867188,0.8470948
314,20,334,0.65234375,0.88023952
298,30,328,0.640625,0.81707317
312,16,328,0.640625,0.90243902
315,8,323,0.63085938,0.9504644
329,1,330,0.64453125,0.99393939
296,33,329,0.64257812,0.7993921
326,10,336,0.65625,0.94047619
302,31,333,0.65039062,0.81381381
319,6,325,0.63476562,0.96307692
324,13,337,0.65820312,0.92284866
322,12,334,0.65234375,0.92814371
318,24,342,0.66796875,0.85964912
326,6,332,0.6484375,0.96385542
310,31,341,0.66601562,0.81818182
304,24,328,0.640625,0.85365854
315,20,335,0.65429688,0.88059701
311,35,346,0.67578125,0.79768786
292,37,329,0.64257812,0.77507599
266,62,328,0.640625,0.62195122
236,81,317,0.61914062,0.48895899
307,22,329,0.64257812,0.8662614
321,18,339,0.66210938,0.89380531
328,4,332,0.6484375,0.97590361
347,0,347,0.67773438,1
311,19,330,0.64453125,0.88484848
328,5,333,0.65039062,0.96996997
326,13,339,0.66210938,0.92330383
319,6,325,0.63476562,0.96307692
300,26,326,0.63671875,0.8404908
316,15,331,0.64648438,0.90936556
286,27,313,0.61132812,0.82747604
275,44,319,0.62304688,0.72413793
291,35,326,0.63671875,0.78527607
317,30,347,0.67773438,0.82708934
319,9,328,0.640625,0.94512195
321,5,326,0.63671875,0.96932515
325,12,337,0.65820312,0.92878338
316,6,322,0.62890625,0.96273292
303,28,331,0.64648438,0.83081571
312,18,330,0.64453125,0.89090909
294,36,330,0.64453125,0.78181818
257,70,327,0.63867188,0.57186544
288,42,330,0.64453125,0.74545455
307,30,337,0.65820312,0.82195846
307,25,332,0.6484375,0.84939759
310,31,341,0.66601562,0.81818182
320,17,337,0.65820312,0.89910979
314,17,331,0.64648438,0.89728097
331,6,337,0.65820312,0.96439169
334,17,351,0.68554688,0.9031339
321,10,331,0.64648438,0.93957704
325,3,328,0.640625,0.98170732
322,16,338,0.66015625,0.90532544
316,19,335,0.65429688,0.88656716
298,39,337,0.65820312,0.76854599
323,14,337,0.65820312,0.91691395
330,12,342,0.66796875,0.92982456
328,11,339,0.66210938,0.93510324
