beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.45,0.85,1.28975,-0.0630273,0.0630273,0.000143503
0.45,0.9,1.2665,-0.066814,0.066814,0.000151606
0.45,0.95,1.23723,-0.0726843,0.0726843,0.000156739
0.5,-1,1.58821,0.0491492,0.0491492,8.84562e-05
0.5,-0.95,1.60612,0.0458228,0.0458228,8.43833e-05
0.5,-0.9,1.62154,0.0427124,0.0427124,0.000104508
0.5,-0.85,1.63521,0.0395117,0.0395117,0.000105511
0.5,-0.8,1.64496,0.0371729,0.0371729,0.000122741
0.5,-0.75,1.60286,0.0373438,0.0373438,4.92937e-05
0.5,-0.7,1.64588,0.0330176,0.0330176,0.000252518
0.5,-0.65,1.68286,0.0290991,0.0290991,6.78516e-05
0.5,-0.6,1.69223,0.0264685,0.0264685,6.39814e-05
0.5,-0.55,1.70146,0.0241028,0.0241028,9.63252e-05
0.5,-0.5,1.6941,0.0224109,0.0224109,0.000228045
0.5,-0.45,1.71568,0.0190125,0.0190125,6.53789e-05
0.5,-0.4,1.68606,0.0181885,0.0181885,0.000238783
0.5,-0.35,1.73018,0.0147107,0.0147107,5.06748e-05
0.5,-0.3,1.73016,0.0130249,0.0130249,5.83682e-05
0.5,-0.25,1.7183,0.0107129,0.0107129,0.000220422
0.5,-0.2,1.73851,0.00831787,0.00831787,4.72958e-05
0.5,-0.15,1.74141,0.00593628,0.00594604,5.60291e-05
0.5,-0.1,1.73038,0.00436646,0.00443481,0.000172642
0.5,-0.05,1.74419,0.0018689,0.00229614,4.81253e-05
0.5,3.19189e-16,1.74621,0.000493164,0.00184326,3.45348e-05
0.5,0.05,1.71628,-0.00243164,0.00274902,0.000276171
0.5,0.1,1.72811,-0.00428467,0.00442139,0.00018041
0.5,0.15,1.74085,-0.00662354,0.00662354,4.88151e-05
0.5,0.2,1.73804,-0.0085022,0.0085022,4.25967e-05
0.5,0.25,1.73389,-0.0102991,0.0102991,5.70709e-05
0.5,0.3,1.71844,-0.0129907,0.0129907,0.000204174
0.5,0.35,1.7253,-0.0153113,0.0153113,4.89719e-05
0.5,0.4,1.72347,-0.0167639,0.0167639,6.26707e-05
0.5,0.45,1.68744,-0.0200757,0.0200757,0.000264783
0.5,0.5,1.66591,-0.0231787,0.0231787,0.000185597
0.5,0.55,1.64292,-0.0264978,0.0264978,6.77985e-05
0.5,0.6,1.69171,-0.0263794,0.0263794,9.30007e-05
0.5,0.65,1.68569,-0.0284497,0.0284497,6.76967e-05
0.5,0.7,1.66653,-0.0317517,0.0317517,0.000122215
0.5,0.75,1.65656,-0.0347974,0.0347974,9.63931e-05
0.5,0.8,1.6423,-0.0376563,0.0376563,0.000119604
0.5,0.85,1.63627,-0.0394751,0.0394751,6.39052e-05
0.5,0.9,1.59239,-0.0446753,0.0446753,0.000263588
0.5,0.95,1.59859,-0.0463794,0.0463794,0.000167897
0.55,-1,1.7275,0.0359241,0.0359241,0.00021435
0.55,-0.95,1.74953,0.0330603,0.0330603,6.51715e-05
0.55,-0.9,1.76213,0.0307434,0.0307434,6.19118e-05
0.55,-0.85,1.77302,0.0282947,0.0282947,6.03156e-05
0.55,-0.8,1.78171,0.0262048,0.0262048,6.27369e-05
0.55,-0.75,1.76379,0.0261621,0.0261621,0.000293838
0.55,-0.7,1.74287,0.025885,0.025885,4.00661e-05
0.55,-0.65,1.80697,0.0202148,0.0202148,4.81907e-05
0.55,-0.6,1.77525,0.020437,0.020437,0.000205703
0.55,-0.55,1.81919,0.0168567,0.0168567,3.56091e-05
0.55,-0.5,1.82538,0.015094,0.015094,5.99093e-05
0.55,-0.45,1.81028,0.0144897,0.0144897,0.000245235
0.55,-0.4,1.83468,0.0122168,0.0122168,4.09427e-05
0.55,-0.35,1.8387,0.0103271,0.0103271,3.75581e-05
0.55,-0.3,1.82297,0.00924805,0.00924805,0.000192493
0.55,-0.25,1.84529,0.00701416,0.00701416,3.31094e-05
0.55,-0.2,1.79447,0.00675171,0.00675171,2.37018e-05
0.55,-0.15,1.84915,0.0044458,0.00444824,2.81596e-05
0.55,-0.1,1.81315,0.00304199,0.003125,0.000239374
0.55,-0.05,1.79848,0.0021582,0.00241943,5.15635e-05
0.55,3.19189e-16,1.84094,8.42285e-05,0.00148804,0.000160941
0.55,0.05,1.85075,-0.00144165,0.00180542,3.69815e-05
0.55,0.1,1.84501,-0.00296875,0.00308838,0.000130367
0.55,0.15,1.82798,-0.00465454,0.00466187,0.000252476
